masterid,inj,fat,total_entrances,degree,total_racks,stwidth,max_stwidth,aadt2,total_stations,avg_facilfar,factryarea,garagearea,avg_numfloors,total_area,avg_builtfar,avg_assessland,avg_bldgdepth,lotarea,avg_lotdepth,min_numfloors,avg_lotfront,resarea,max_numfloors,comarea,strgearea,unitsres,officearea,avg_residfar,retailarea,bldgarea,avg_assesstot,avg_commfar,avg_bldgfront,unitstotal,x,y
6704,24,0,"",4,2,108.894484227247,65.5234860743082,16411,"",4.8,4788,0,5.07692307692308,65.494189671724,1.82307692307692,402581.846153846,119.956923076923,708576,166.616153846154,0,261.529230769231,1168644,16,384720,1610,1125,285600,3.44,92722,1553364,3646181.84615385,0,151.666923076923,1148,-73.9035210913424,40.835010030176
6718,18,0,"",4,"",118.467722166795,71.081869101585,12627,"",2.01159420289855,0,0,1.82608695652174,1186.96991895856,1.04086956521739,56912.115942029,51.9227536231884,285522,102.979275362319,0,28.8921739130435,189927,6,134120,0,199,0,1.21376811594203,0,324047,133485.463768116,0.0289855072463768,25.1833333333333,203,-73.9909318232202,40.5943327872989
6739,15,0,"",4,"",41.5173420659078,41.5173420659078,2400,"",3.6271186440678,0,0,2.27966101694915,939.672116305783,1.27847457627119,38712.0338983051,52.3294915254237,241022,104.972033898305,0,34.0023728813559,187844,5,80845,340,247,1650,3.48983050847458,19277,268689,148801.779661017,0,24.4132203389831,280,-73.8640749609381,40.8814578925029
6743,13,0,"",4,1,80.8341930562453,40.8144926687635,11406,"",2.17647058823529,0,88450,2.43529411764706,620.780556819834,1.53258823529412,47606.7647058823,58.4264705882353,228415,95.5264705882353,0,26.6311764705882,186634,4,217469,7296,170,10103,1.69764705882353,110620,404103,193683.905882353,0.529411764705882,22.1243529411765,239,-74.0256616421562,40.622140654192
6754,11,0,"",4,"",129.598724510927,73.8290308700048,32799,"",2.33802816901408,0,22004,2.07394366197183,1798.29137692311,0.913943661971831,39864.6197183099,47.1584507042254,242414,102.746478873239,0,32.6656338028169,130453,4,79063,388,158,15036,1.71267605633803,27123,209516,132335.76056338,0,23.2429577464789,190,-73.871323958824,40.7570363407329
6765,13,0,"",4,"",105.820190151079,65.9234528353728,24629,"",4.8,0,0,3.62962962962963,1567.67704886728,2.45,57568.5925925926,73.0466666666667,265143,115.058518518519,0,54.8914814814815,556353,8,215515,0,652,198515,3.44,17000,771868,695730.333333333,0,46.4411111111111,667,-73.885301572905,40.8445471775144
6785,15,0,"",4,7,105.443259585095,66.0954350528771,14266,"",4.8,0,3000,2.52083333333333,1614.97411430085,1.3865625,22625.7916666667,57.5146875,372759,112.728229166667,1,28.5936458333333,324646,5,164470,0,343,110000,2.43,41725,489116,107567.875,0,24.1548958333333,393,-73.9306977275111,40.6732567787122
6787,19,0,"",4,"",145.083149309403,79.9222271109549,29802,"",2.4,11632,3362,2.86363636363636,1148.16759317472,1.46818181818182,63895.8181818182,52.7045454545455,155510,113.425,0,60.9195454545455,337669,10,36018,0,376,0,0,21024,373687,288171.863636364,1,37.0604545454545,397,-73.8735971357871,40.8397985558055
6798,13,0,"",4,"",79.7641321571616,44.1286430248112,12907,"",2,0,3449,2.22142857142857,471.815988292527,1.17714285714286,35679.1857142857,48.099,221342,91.6485714285714,0,35.9094285714286,128796,3,85996,0,117,21806,1.29214285714286,47161,214792,123368.528571429,0,24.8108571428571,174,-73.8039997129491,40.7602704862939
6820,16,0,"",4,7,86.8832053386972,45.7929418117454,13659,"",4.8,0,5175,3.20486111111111,1022.97625866974,2.26958333333333,50607.1388888889,74.5336111111111,297800,102.98375,0,35.5609722222222,636962,7,144366,1250,718,13401,2.43,92040,781328,305739.763888889,0,27.04375,799,-73.942734484258,40.7044733067359
6833,11,0,"",3,"",118.698490863682,72.2236717729406,8367,"",2,0,0,2.76923076923077,2339.34980343144,1.10769230769231,384614.538461538,104.986923076923,1467803,203.813846153846,1,119.801538461538,1164922,7,146919,0,1485,139373,1.25,7546,1311841,1499340.69230769,0,39.4484615384615,1492,-73.8742313464038,40.670862396903
