"","O","D","Diff"
"988",90,261,-222
"989",91,11,-26
"990",91,13,-23
"991",91,21,-24
"992",91,37,-26
"993",91,43,-32
"994",91,44,-20
"995",91,45,-26
"996",91,46,-24
"997",91,48,-41
"998",91,49,-39
"999",91,87,-91
"1000",91,88,-232
"1001",91,112,-25
"1002",91,128,-20
"1003",91,130,-20
"1004",91,136,-24
"1005",91,151,-22
"1006",91,179,-26
"1007",91,261,-69
"1008",91,268,-51
"1009",91,367,-28
"1010",92,43,-24
"1011",92,87,-94
"1012",92,261,-24
"1013",92,268,-69
"1014",92,273,-21
"1015",92,367,-29
"1016",94,87,-39
"1017",94,159,-37
"1018",94,173,-21
"1019",94,268,-47
"1020",94,420,-26
"1021",95,43,-27
"1022",95,87,-44
"1023",95,159,-45
"1024",95,173,-43
"1025",95,195,-34
"1026",95,199,-25
"1027",95,268,-46
"1028",95,287,-25
"1029",95,365,-24
"1030",95,420,-39
"1031",96,191,-22
"1032",96,268,-20
"1033",96,367,-29
"1034",96,420,-22
"1035",97,367,-23
"1036",99,87,-23
"1037",99,261,-27
"1038",101,268,-43
"1039",102,105,-23
"1040",102,106,-24
"1041",102,273,-26
"1042",103,104,-226
"1043",103,105,-50
"1044",103,106,-46
"1045",103,107,-29
"1046",103,108,-31
"1047",103,110,-21
"1048",103,248,-33
"1049",103,249,-20
"1050",103,251,-30
"1051",103,253,-26
"1052",103,272,-21
"1053",103,273,-41
"1054",103,274,-26
"1055",103,279,-23
"1056",103,282,-30
"1057",103,284,-33
"1058",104,103,-226
"1059",104,261,-47
"1060",104,273,-26
"1061",104,274,-37
"1062",104,276,-22
"1063",104,278,-22
"1064",104,282,-120
"1065",104,364,-60
"1066",105,87,-27
"1067",105,102,-23
"1068",105,103,-50
"1069",105,261,-38
"1070",105,268,-31
"1071",105,273,-47
"1072",105,274,-25
"1073",105,282,-32
"1074",105,364,-34
"1075",105,366,-23
"1076",105,367,-36
"1077",106,87,-42
"1078",106,102,-24
"1079",106,103,-46
"1080",106,261,-65
"1081",106,268,-37
"1082",106,273,-36
"1083",106,282,-27
"1084",106,364,-51
"1085",106,367,-20
"1086",107,103,-29
"1087",107,282,-27
"1088",107,364,-98
"1089",107,366,-33
"1090",107,367,-22
"1091",108,103,-31
"1092",108,261,-27
"1093",108,273,-27
"1094",108,364,-104
"1095",108,366,-42
"1096",108,367,-39
"1097",108,368,-23
"1098",109,364,-153
"1099",109,366,-27
"1100",109,367,-36
"1101",110,45,-20
"1102",110,87,-31
"1103",110,103,-21
"1104",110,261,-58
"1105",110,265,-22
"1106",110,273,-27
"1107",111,364,-141
"1108",112,11,-39
"1109",112,21,-22
"1110",112,91,-25
"1111",112,261,-51
"1112",112,265,-23
"1113",112,273,-22
"1114",113,11,-33
"1115",113,34,-33
"1116",113,261,-44
"1117",115,127,-46
"1118",115,152,-33
"1119",116,261,-46
"1120",117,45,-21
"1121",117,87,-21
"1122",117,261,-37
"1123",120,88,-39
"1124",120,261,-33
"1125",121,150,-26
"1126",123,261,-29
"1127",124,261,-21
"1128",127,115,-46
"1129",128,91,-20
"1130",130,91,-20
"1131",130,261,-37
"1132",132,88,-21
"1133",135,261,-28
"1134",136,91,-24
"1135",136,261,-25
"1136",137,261,-21
"1137",139,261,-30
"1138",140,261,-21
"1139",141,261,-23
"1140",142,151,-35
"1141",142,152,-25
"1142",142,154,-32
"1143",142,155,-40
"1144",143,3,-32
"1145",143,4,-23
"1146",143,5,-20
"1147",143,13,-20
"1148",143,50,-21
"1149",143,59,-26
"1150",143,60,-22
"1151",143,66,-23
"1152",143,149,-32
"1153",143,150,-24
"1154",143,151,-149
"1155",143,152,-105
"1156",143,153,-35
"1157",143,154,-88
"1158",143,155,-119
"1159",143,156,-98
"1160",143,158,-64
"1161",143,174,-23
"1162",143,175,-32
"1163",143,251,-25
"1164",144,151,-46
"1165",144,153,-26
"1166",144,154,-60
"1167",144,155,-93
"1168",145,149,-38
"1169",145,151,-31
"1170",145,152,-30
"1171",145,153,-30
"1172",145,154,-110
"1173",145,155,-163
"1174",146,66,-24
"1175",146,150,-36
"1176",146,151,-160
"1177",146,152,-76
"1178",146,153,-56
"1179",146,154,-123
"1180",146,155,-66
"1181",146,156,-48
"1182",146,158,-59
"1183",147,151,-45
"1184",147,153,-26
"1185",147,154,-42
"1186",147,155,-35
"1187",148,152,-23
"1188",149,143,-32
"1189",149,145,-38
"1190",150,34,-23
"1191",150,41,-33
"1192",150,42,-31
"1193",150,66,-26
"1194",150,121,-26
"1195",150,143,-24
"1196",150,146,-36
"1197",150,151,-84
"1198",150,152,-28
"1199",150,153,-36
"1200",150,154,-91
"1201",150,155,-67
"1202",150,156,-23
"1203",150,158,-33
"1204",150,159,-22
"1205",150,162,-24
"1206",151,45,-35
"1207",151,88,-24
"1208",151,91,-22
"1209",151,142,-35
"1210",151,143,-149
"1211",151,144,-46
"1212",151,145,-31
"1213",151,146,-160
"1214",151,147,-45
"1215",151,150,-84
"1216",151,152,-22
"1217",151,261,-46
"1218",152,8,-49
"1219",152,9,-50
"1220",152,10,-42
"1221",152,11,-31
"1222",152,12,-24
"1223",152,22,-26
"1224",152,25,-30
"1225",152,31,-24
"1226",152,32,-35
"1227",152,34,-106
"1228",152,37,-29
"1229",152,38,-27
"1230",152,40,-32
"1231",152,41,-63
"1232",152,42,-49
"1233",152,47,-23
"1234",152,50,-22
"1235",152,66,-20
"1236",152,68,-21
"1237",152,115,-33
"1238",152,142,-25
"1239",152,143,-105
"1240",152,145,-30
"1241",152,146,-76
"1242",152,148,-23
"1243",152,150,-28
"1244",152,151,-22
"1245",152,156,-27
"1246",152,157,-31
"1247",152,260,-32
"1248",152,261,-33
"1249",153,143,-35
"1250",153,144,-26
"1251",153,145,-30
"1252",153,146,-56
"1253",153,147,-26
"1254",153,150,-36
"1255",154,142,-32
"1256",154,143,-88
"1257",154,144,-60
"1258",154,145,-110
"1259",154,146,-123
"1260",154,147,-42
"1261",154,150,-91
"1262",154,261,-32
"1263",155,8,-140
"1264",155,9,-29
"1265",155,11,-33
"1266",155,12,-22
"1267",155,32,-93
"1268",155,34,-87
"1269",155,142,-40
"1270",155,143,-119
"1271",155,144,-93
"1272",155,145,-163
"1273",155,146,-66
"1274",155,147,-35
"1275",155,150,-67
"1276",155,260,-20
"1277",155,261,-40
"1278",156,8,-30
"1279",156,9,-37
"1280",156,34,-64
"1281",156,41,-31
"1282",156,89,-26
"1283",156,143,-98
"1284",156,146,-48
"1285",156,150,-23
"1286",156,152,-27
"1287",156,260,-62
"1288",157,152,-31
"1289",158,8,-64
"1290",158,9,-52
"1291",158,11,-38
"1292",158,12,-30
"1293",158,22,-32
"1294",158,25,-31
"1295",158,26,-20
"1296",158,29,-22
"1297",158,31,-27
"1298",158,32,-52
"1299",158,34,-190
"1300",158,41,-29
"1301",158,143,-64
"1302",158,146,-59
"1303",158,150,-33
"1304",158,260,-45
"1305",158,261,-369
"1306",159,34,-29
"1307",159,94,-37
"1308",159,95,-45
"1309",159,150,-22
"1310",159,261,-22
"1311",162,11,-23
"1312",162,34,-36
"1313",162,150,-24
"1314",162,261,-27
"1315",163,34,-21
"1316",165,11,-21
"1317",165,25,-20
"1318",165,34,-49
"1319",165,261,-21
"1320",167,261,-26
"1321",171,88,-21
"1322",171,261,-38
"1323",172,11,-28
"1324",172,34,-41
"1325",172,261,-30
"1326",172,424,-24.460001
"1327",172,425,-87
"1328",173,11,-22
"1329",173,94,-21
"1330",173,95,-43
"1331",173,261,-30
"1332",174,143,-23
"1333",174,261,-32
"1334",174,420,-46
"1335",175,143,-32
"1336",175,260,-23
"1337",175,261,-29
"1338",175,420,-22
"1339",175,425,-28
"1340",176,261,-35
"1341",176,425,-112
"1342",177,11,-26
"1343",177,25,-21
"1344",177,34,-36
"1345",177,261,-34
"1346",177,424,-35.549999
"1347",177,425,-26
"1348",177,430,-23.639999
"1349",178,34,-25
"1350",178,261,-26
"1351",178,424,-20.139999
"1352",179,91,-26
