X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.14205532888748,40.545927803584497,41735,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.141410521498486,40.546424261967246,20824,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.140452471348809,40.547139187057795,42856,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.139467126861021,40.547867400362257,6230,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.138647488076401,40.548481347372956,19150,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.137393887413452,40.549596266614728,41904,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,4,{12-TD-01.0},"{""Added Median (Tips-Only)-None--1"",""Ped Ramps-None--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Tactile Strips-None--1"",Bollards-Bell--1}"
-74.013187643331321,40.704042717065995,32058,2012-09-01 00:00:00,2012-09-30 00:00:00,29,822,1,0,0,1,0,0,4,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-4,{12-PPG-07.0},"{Neckdown-None--1,""Tactile Strips-None--1"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Refurb Markings-None"",""Sidewalk Expansion-None-None"",Delineators-None-None,""Parking Lane Removed-None-None""}"
-74.136072576703242,40.550431922782522,12398,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.134573384027121,40.551268649651455,12311,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.133166791837311,40.552352353573696,1382,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
