O,D,VAL
3619820100001027,3619820100001016,270
3619820100001027,3619820100001018,230
3619820100001027,3619820100001020,110
3619820100001027,3619820100001021,470
3619820100001027,3619820100001023,115
3619820100001027,3619820100001024,105
3619820100001027,3619820100001025,865
3619820100001027,3619820100001026,655
3619820100001027,3619820100001027,2685
3619820100001027,3619820100002011,135
3619820100001027,3619820100003001,160
3619820100001027,3619820100004001,150
3619820100001027,3619820100004002,220
3619820100001027,3619820100004004,155
3619820100001027,3619820100004005,135
3619820100001027,3619820100004006,185
3619820100001027,3619820100004007,155
3619820100001027,3619820100004009,215
3619820100001027,3619820100004011,135
3619820100001027,3619820100004015,150
3619820100001027,3619820100004022,160
3619820100001027,3619820100004024,115
3619820100001027,3619820100004026,340
3619820100001027,3619820100004028,160
3619820100001027,3619820100006001,120
3619820100001027,3619820100006002,315
3619820100002001,3619820100001001,895
3619820100002001,3619820100001002,1100
3619820100002001,3619820100001003,260
3619820100002001,3619820100001005,300
3619820100002001,3619820100001006,680
3619820100002001,3619820100001007,380
3619820100002001,3619820100001008,1075
3619820100002001,3619820100001009,380
3619820100002001,3619820100001010,2335
3619820100002001,3619820100001011,560
3619820100002001,3619820100001012,150
3619820100002001,3619820100001013,280
3619820100002001,3619820100001014,180
3619820100002001,3619820100001015,220
3619820100002001,3619820100001016,210
3619820100002001,3619820100002001,2405
3619820100002001,3619820100002002,385
3619820100002001,3619820100002003,195
3619820100002001,3619820100002007,165
3619820100002001,3619820100002008,210
3619820100002001,3619820100002009,140
3619820100002001,3619820100002010,180
3619820100002001,3619820100002011,315
3619820100002001,3619820100002013,165
3619820100002001,3619820100002014,395
3619820100002001,3619820100002025,145
3619820100002001,3619820100002027,165
3619820100002001,3619820100002028,160
3619820100002001,3619820100002031,135
3619820100002001,3619820100002033,105
3619820100002001,3619820100003001,445
3619820100002002,3619820100001001,1180
3619820100002002,3619820100001002,1865
3619820100002002,3619820100001003,200
3619820100002002,3619820100001004,150
3619820100002002,3619820100001005,320
3619820100002002,3619820100001006,900
3619820100002002,3619820100001007,365
3619820100002002,3619820100001008,1840
3619820100002002,3619820100001009,450
3619820100002002,3619820100001010,2055
3619820100002002,3619820100001011,825
3619820100002002,3619820100001012,235
3619820100002002,3619820100001013,180
3619820100002002,3619820100001014,110
3619820100002002,3619820100001015,110
3619820100002002,3619820100001016,270
3619820100002002,3619820100001021,115
3619820100002002,3619820100002001,220
3619820100002002,3619820100002002,3040
3619820100002002,3619820100002003,360
3619820100002002,3619820100002004,155
3619820100002002,3619820100002005,160
3619820100002002,3619820100002007,380
3619820100002002,3619820100002008,400
3619820100002002,3619820100002010,220
3619820100002002,3619820100002011,740
3619820100002002,3619820100002012,260
3619820100002002,3619820100002013,120
3619820100002002,3619820100002014,155
3619820100002002,3619820100002015,150
3619820100002002,3619820100002026,345
3619820100002002,3619820100002027,130
3619820100002002,3619820100002028,335
3619820100002002,3619820100002031,175
3619820100002002,3619820100003001,175
3619820100002002,3619820100003008,125
3619820100002003,3619820100001001,970
3619820100002003,3619820100001002,1205
3619820100002003,3619820100001003,475
3619820100002003,3619820100001004,310
3619820100002003,3619820100001006,590
3619820100002003,3619820100001007,435
3619820100002003,3619820100001008,1110
3619820100002003,3619820100001009,460
3619820100002003,3619820100001010,1750
3619820100002003,3619820100001011,610
3619820100002003,3619820100001012,230
3619820100002003,3619820100001014,115
3619820100002003,3619820100001015,250
3619820100002003,3619820100001016,105
3619820100002003,3619820100001017,145
